"Transactional emails","Transakční emaily"
"Send an email now","Poslat email"
"Hide and clear configuration","Skrýt a vymazat nastavení"
"File format","Formát souboru"
"Reply to","Odpovědět komu"
"Recipient(s)","Příjemce(i)"
"Duration","Délka"
" Error","Chyba"
"Created At: %s","Vytvořeno v: %s"
"Duration: %s","Délka: %s"
"Type: %s","Typ: %s"
"Store view: %d, %s","Zobrazení obchodu: %d, %s"
"Status: <span %s>%s</span>","Stav: <span %s>%s</span>"
"Sender: %s","Odesilatel: %s"
"Recipient(s): %s","Příjemce(i): %s"
"Reply to: %s","Odpovědět komu: %s"
"CC: %s","Kopie: %s"
"BCC: %s","Skrytá Kopie: %s"
" monthly","měsíčně"
" weekly","týdně"
" daily","denně"
"Status: %s","Stav: %s"
"Yes - %s","Ano - %s"
"%d days","%d dní"
" %d days (%d weeks)","%d dní (%d týdny)"
"%d days (%d weeks)","%d dní (%d týdnů)"
"%d days (%d month)","%d dní (%d měsíc)"
" %d days (%d months)","%d dní (%d měsíce)"
"%d days (%d months)","%d dní (%d měsíců)"
"Transactional emails - %s","Transakční emaily - %s"
"Background color","Barva pozadí"
"Text color","Barva textu"
"%d month","%d měsíc"
" %d months","%d měsíce"
"%d months","%d měsíců"
" %d years","%d roky"
"%d years","%d let"
"Copy","Kopírovat"
"Subject: %s","Předmět: %s"
