"Transactional emails","取り引きメール"
"Username","ユーザー名"
"Transactional emails / Tools / Magento Admin","取り引きメール/ツール/ Magento管理画面"
"Status: <span %s>%s</span>","状態：<span %s>%s</span>"
"Sender: %s","発送人：%s"
"%s kB","%s ko"
"%s MB","%s Mo"
"%s GB","%s Go"
"Subject: %s","件名：%s"
"Email %d: %s","メールアドレス%d：%s"
"Status: %s","状態：%s"
" monthly","月ごと"
" weekly","週ごと"
" daily","日ごと"
"%d days","%d日間"
"%d days (%d weeks)","%d日間（%d週間）"
"%d days (%d month)","%d日間（%dヶ月）"
"%d days (%d months)","%d日間（%dヶ月）"
"Transactional emails - %s","取り引きメール - %s"
"%d months","%dヶ月"
"%d years","%d年"
