"Transactional emails","交易邮件"
"File format","文件格式"
"Cron expression","Cron 表达式"
"Duration","时长"
" Error","错误"
"Created At: %s","创建于：%s"
"Duration: %s","时长：%s"
"Type: %s","类型：%s"
"Store view: %d, %s","店面：%s, %d"
"Status: <span %s>%s</span>","状态：<span %s>%s</span>"
"Sender: %s","发货人：%s"
" monthly","按月"
" weekly","每周"
" daily","按日"
"Email %d: %s","电邮%d：%s"
"Status: %s","状态：%s"
"Yes - %s","是 - %s"
"%d days","%d天"
" %d days (%d weeks)","%d天（%d周）"
"%d days (%d weeks)","%d天（%d周）"
"%d days (%d month)","%d天（%d个月）"
" %d days (%d months)","%d天（%d个月）"
"%d days (%d months)","%d天（%d个月）"
"Transactional emails - %s","交易邮件 - %s"
"Background color","背景颜色"
"Text color","文字颜色"
"%d month","%d个月"
" %d months","%d个月"
"%d months","%d个月"
" %d years","%d年"
"%d years","%d年"
"Copy","复制"
"Subject: %s","主题：%s"
