"Transactional emails","E-mail Şablonları"
"File format","Dosya Biçimi"
"Cron expression","Cron İfadesi"
"Reply to","Yanıtla"
"Recipient(s)","Alıcı(lar)"
"Duration","Süre"
" Error","Hata"
"Created At: %s","Oluşturulduğu Yer : %s"
"Duration: %s","Süre : %s"
"Type: %s","Tip : %s"
"Store view: %d, %s","Mağaza görünümü : %d, %sa"
"Status: <span %s>%s</span>","Durum : <span %s>%s</span>"
"Sender: %s","Gönderici : %s"
"Recipient(s): %s","Alıcı(lar) : %s"
"Reply to: %s","Yanıtla : %s"
"CC: %s","Karbon Kopya : %s"
"BCC: %s","Gizli Karbon Kopya : %s"
" monthly","ayda bir"
" weekly","haftada bir"
" daily","günde bir"
"Email %d: %s","E-mail %d : %s"
"Status: %s","Durum : %s"
"Yes - %s","Evet - %s"
"%d days","%d gün"
" %d days (%d weeks)","%d gün (%d hafta)"
"%d days (%d weeks)","%d gün (%d hafta)"
"%d days (%d month)","%d gün (%d ay)"
" %d days (%d months)","%d gün (%d ay)"
"%d days (%d months)","%d gün (%d ay)"
"Transactional emails - %s","E-mail Şablonları - %s"
"Background color","Artalan rengi"
"Text color","Metin rengi"
"%d month","%d ay"
" %d months","%d ay"
"%d months","%d ay"
" %d years","%d yıl"
"%d years","%d yıl"
"Copy","Kopyala"
"Subject: %s","Konu : %s"
