"Transactional emails","Транзакционные письма"
"Hide and clear configuration","Скрыть и очистить конфигурацию"
"File format","Формат файла"
"Duration","Длительность"
" Error","Ошибка"
"Created At: %s","Дата создания: %s"
"Duration: %s","Длительность: %s"
"Type: %s","Тип: %s"
"Store view: %d, %s","Представление магазина: %d, %s"
"Status: <span %s>%s</span>","Статус: <span %s>%s</span>"
"Sender: %s","Отправитель: %s"
"%s kB","%s Кб"
"%s MB","%s Мб"
"%s GB","%s ГБ"
" monthly","eжемесячно"
" weekly","еженедельно"
" daily","eжедневно"
"Email %d: %s","Электронная почта %d: %s"
"Status: %s","Статус: %s"
"Yes - %s","Да - %s"
"%d days","%d дней"
" %d days (%d weeks)","%d дней (%d недели)"
"%d days (%d weeks)","%d дней (%d недели)"
"%d days (%d month)","%d дней (%d месяц)"
" %d days (%d months)","%d дней (%d месяцев)"
"%d days (%d months)","%d дней (%d месяцев)"
"Transactional emails - %s","Транзакционные письма - %s"
"Background color","Цвет фона"
"Text color","Цвет шрифта"
"%d month","%d месяц"
" %d months","%d месяцев"
"%d months","%d месяцев"
" %d years","%d лет"
"%d years","%d лет"
"Copy","Копировать"
"Subject: %s","Тема: %s"
