"Transactionnal emails","Emails transactionnels"
"Email send report","Rapport des emails envoyés"
"Send emails","Envoyer les emails"
"Send emails in background","Envoyer en arrière plan"
"Minify <abbr title=""HyperText Markup Language"">HTML</abbr> code","Minifier le code <abbr title=""Langage de balisage hypertexte (HyperText Markup Language)"">HTML</abbr>"
"Possibly requires <a href=""http://us.php.net/manual/en/book.tidy.php"" onclick=""window.open(this.href); return false;"">PHP-TIDY</a>.","Requiert éventuellement <a href=""http://fr.php.net/manual/fr/book.tidy.php"" onclick=""window.open(this.href); return false;"">PHP-TIDY</a>."
"Number of emails per page","Nombre d'emails par page"
"Show subject column","Afficher la colonne sujet"
"Show size column","Afficher la colonne taille"
"Show created at column","Afficher la colonne créé le"
"Statistics","Statistiques"
"Number of emails","Nombre d'emails"
"Table size","Taille de la table"
"Email reports","Rapports par email"
"Emails separated by space.","Adresses séparées par un espace."
"Transactionnal emails / Tools / Magento Admin","Emails transactionnels / Outils / Admin Magento"
"~%d (very approximate)","~%d (est très approximatif)"
"Recipient(s)","Destinataire(s)"
"Size","Taille"
"Sent At","Envoyé le"
"Duration","Durée"
"Pending","En attente"
"Sending","En cours"
"Sent","Envoyé"
"Open/read","Ouvert/lu"
"Not sent","Non envoyé"
" Error","En erreur"
"Email number %d - %s","Email numéro %d - %s"
"Resend email","Renvoyer l'email"
"Created At: %s","Créé le : %s"
"Sent At: %s","Envoyé le : %s"
"Duration: %s","Durée : %s"
"Status: <span>%s</span>","État : <span>%s</span>"
"Approximate size: %s","Taille approximative : %s"
"Recipient(s): %s","Destinataire(s) : %s"
"%s KB","%s Ko"
"%s MB","%s Mo"
"Subject: %s","Sujet : %s"
"<a href=""%s"">Print</a> this email only if necessary.","<a href=""%s"">Imprimez</a> cet email uniquement si cela est nécessaire."
"monthly","menusel"
"weekly","hebdomadaire"
"daily","quotidien"
"Email %d: %s","Email %d : %s"
"Status: %s","État : %s"
"Can not send email report to %s.","Impossible d'envoyer le rapport par email à %s."
"not available","non disponible"
"With search and replace","Avec des rechercher/remplacer"
"With PHP-TIDY (%s)","Avec PHP-TIDY (%s)"
"The <em>%s</em> field is a required value.","Le champ <em>%s</em> est un champ obligatoire."
"Email number %d has been successfully deleted.","L'email numéro %d a bien été supprimé."
"Email number %d has been successfully resent (warning, dates are not updated).","L'email numéro %d a bien été renvoyé (attention, les dates ne sont pas mises à jour)."
