"Transactional emails","Ügyleti emailek"
"Hide and clear configuration","Konfiguráció elrejtés és törlés"
"File format","Fájlformátum"
"Reply to","Válasz címzettje"
"INCOMPLETE MODULE INSTALLATION","SIKERTELEN MODUL TELEPÍTÉS"
"There is conflict (<em>%s</em>).","Probléma merült fel (<em>%s</em>)."
"Duration","Hossz"
" Error","Hiba"
"Created At: %s","Készült: %s"
"Duration: %s","Hossz: %s"
"Type: %s","Típus: %s"
"Store view: %d, %s","Bolt nézet: %d, %s"
"Status: <span %s>%s</span>","Állapot: <span %s>%s</span>"
"Sender: %s","Feladó: %s"
"Reply to: %s","Válasz címzettje: %s"
"CC: %s","Másolat: %s"
"BCC: %s","Titkos másolat: %s"
" monthly","havonta"
" weekly","hetente"
" daily","napi"
"Email %d: %s","E-mail%d: %s"
"Status: %s","Állapot: %s"
"Yes - %s","Igen - %s"
"%d days","%d nap"
" %d days (%d weeks)","%d nap (%d hét)"
"%d days (%d weeks)","%d nap (%d hét)"
"%d days (%d month)","%d nap (%d hónap)"
" %d days (%d months)","%d nap (%d hónap)"
"%d days (%d months)","%d nap (%d hónap)"
"Transactional emails - %s","Ügyleti emailek - %s"
"Background color","Háttérszín"
"Text color","Szövegszín"
"%d month","%d hónap"
" %d months","%d hónap"
"%d months","%d hónap"
" %d years","%d év"
"%d years","%d év"
"Copy","Másolás"
"Subject: %s","Tárgy: %s"
