"Transactional emails","Email-uri tranzactionale"
"Hide and clear configuration","Ascunde și șterge configurația"
"File format","Format de fișier"
"Cron expression","Expresia cron"
"INCOMPLETE MODULE INSTALLATION","INSTALARE INCOMPLETĂ"
"There is conflict (<em>%s</em>).","Există un conflict (<em>%s</em>)."
"Duration","Durată"
" Error","Eroare"
"Created At: %s","Creat la: %s"
"Duration: %s","Durată: %s"
"Type: %s","Tip: %s"
"Store view: %d, %s","Vizualizare magazin: %d, %s"
"Status: <span %s>%s</span>","Stare: <span %s>%s</span>"
"Sender: %s","Expeditor: %s"
" monthly","lunar"
" weekly","saptamanal"
" daily","zilnic"
"Email %d: %s","E-mail%d: %s"
"Status: %s","Stare: %s"
"Yes - %s","Da - %s"
"%d days","%d zile"
"Transactional emails - %s","Email-uri tranzactionale - %s"
"Background color","Culoarea fundalului"
"Text color","Culoare text"
"Copy","Copiază"
"Subject: %s","Subiect: %s"
