"Transactional emails","Transakčné e-maily"
"Username","Užívateľské meno"
"Recipient(s)","Prijímatel(ia)"
"Duration","Trvanie"
"Created At: %s","Vytvorené: %s"
"Duration: %s","Trvanie: %s"
"Sender: %s","Odosielateľ: %s"
"Recipient(s): %s","Prijímatel(ia): %s"
" monthly","mesačne"
" weekly","týždenne"
" daily","denne"
"Email %d: %s","E-mail %d: %s"
"%d days","%d dní"
" %d days (%d weeks)","%d dní (%d týždne)"
"%d days (%d weeks)","%d dní (%d týždňov)"
"%d days (%d month)","%d dní (%d mesiac)"
" %d days (%d months)","%d dní (%d mesiace)"
"%d days (%d months)","%d dní (%d mesiacov)"
"Transactional emails - %s","Transakčné e-maily - %s"
"Background color","Farba pozadia"
"Text color","Farba textu"
" %d months","%d mesiace"
"%d months","%d mesiacov"
" %d years","%d roky"
"%d years","%d rokov"
"Subject: %s","Subjekt: %s"
